prompt;completion
Care for tick bites;1. Use tweezers to grasp the tick by the head as close to the person’s skin as possible. 2. Pull upward slowly and steadily without twisting until the tick releases its hold. If you cannot remove the tick or if its mouthparts stay in the skin, the person should seek medical attention. 3. If the tick is removed, wash the area with clean tap water. The pressure of the running water lets it penetrate more deeply into the wound. 4. If possible, save the tick in a resealable bag and record the date of the bite. 5. Advise the person to monitor the bite for several days for signs and symptoms of infection. If the area becomes infected (i.e., it becomes red, warm, or painful), or the person develops a fever, he or she should seek medical attention. Ticks can be infected with more than one type of bacteria that can cause human illness. Signs can appear weeks to months after a bite. If a person feels unwell after a tick bite, he or she should seek medical attention.
Lyme Disease;Lyme disease is caused by bacteria that are transmitted to humans through bites from infected ticks. If Lyme disease is not treated, it can become a chronic condition with serious symptoms such as cognitive dysfunction, joint and muscle pain, and neurological disorders.
Syptoms of Lyme disease;The most distinctive sign of Lyme disease is a small red rash centred on the location of the bite in the shape of a bullseye (a red dot on a paler circle with an outer red ring). These rashes are typically 13 to 18 cm (5 to 7 in.) across. Other signs and symptoms of Lyme disease include:  Fatigue  Headache  Fever or chills  Swollen lymph nodes  Numbness or tingling  Muscle spasms or weakness  Joint and muscle pain (similar in feeling to the flu)
What to do in case of Lyme disease;Seek medical attention as soon as possible. If possible, save the tick responsible for the bite in a resealable bag or empty pill bottle, and bring it to the medical appointment. It may help the doctor diagnose the illness.
Snakebites;In the wild, snakes like to occupy rock outcrops, swamps, undergrowth, and abandoned human structures. When disturbed, some snakes can inject venom as they bite. The vast majority of Canada’s snakes are non-venomous, but there are three venomous snakes currently native to Canada. All three are rattlesnakes: 1. Northern Pacific Rattlesnake 2. Massasauga Rattlesnake 3. Prairie Rattlesnake. Other venomous snakes in North America include copperheads, cottonmouths (water moccasins), and coral snakes. Most deaths from venomous snakebites occur because:  Too much time passed before the person received medical care.  The person had an allergic reaction to the venom.  The snake bite compounded an existing health condition in the person.
Prevention from Snakebites;The following steps will help prevent snakebites:  Do not aggravate a snake.  Wear proper footwear and watch where you put your feet when hiking. If you hear a rattlesnake, remain still until the snake is located, then back away slowly: avoid stomping or jumping as this may startle the snake.
Spider Bites;Very few spiders in Canada can cause serious illness or death. The bites of harmless spiders often cause reactions similar to those of bee stings (e.g., swelling, redness, and stinging or pain at the site). However, two types of venomous spiders are occasionally encountered in Canada: the brown recluse and the black widow. The bite of either spider can, in rare cases, be life-threatening.
Black Widow Spiders;"The black widow spider is black with a reddish hourglass shape on the underside of its body. Its bite is the most painful and deadly of all the widow spiders, especially for very young children and older adults. The bite usually causes an immediate, sharp, ""pin-prick"" pain, followed by dull pain in the area of the bite. However, the person often does not know that he or she has been bitten until he or she starts to feel ill or notices a bite mark or swelling. The signs and symptoms of a black widow spider bite (e.g., abdominal cramps), can mimic those of other medical emergencies. Anyone with a suspected bite should be seen by a doctor for correct diagnosis and treatment."
Brown Recluse Spiders;The brown recluse spider has a distinctive violin-shaped pattern on the back of its front body section. At first, the bite may produce little or no pain. Pain in the area of the bite develops an hour or more later. A blood-filled blister forms under the surface of the skin, sometimes in a target or bull’seye pattern. Over several hours, the blister increases in size and eventually ruptures, leading to tissue destruction and a black scab.
Signs and symptoms of spider bites;Signs and symptoms of spider bites depend on the amount of venom injected and the person’s sensitivity to the venom. Most spider bites heal with no adverse effects or scarring. Signs and symptoms of venomous spider bites can seem identical to those of other conditions and therefore can be difficult to recognize. The only way for a First Aider to be certain that a venomous spider has bitten a person is to have witnessed it.
